 esta     121 &  1.137E-01 &   8 &   28 &  1.147E-01 &  1.434E-02 &  4.097E-03 &  2.295E+01 \\
 esta     122 &  1.187E-01 &  14 &   45 &  2.817E-02 &  2.012E-03 &  6.260E-04 &  2.141E+01 \\
 esta     123 &  1.152E-01 &  15 &   62 &  1.081E-02 &  7.208E-04 &  1.744E-04 &  2.354E+01 \\
 esta     124 &  1.177E-01 &   8 &   39 &  1.934E-02 &  2.418E-03 &  4.960E-04 &  2.311E+01 \\
 esta     125 &  1.140E-01 &   6 &   26 &  5.744E-02 &  9.573E-03 &  2.209E-03 &  2.439E+01 \\
 esta     126 &  1.109E-01 &   6 &   33 &  1.081E-02 &  1.801E-03 &  3.275E-04 &  2.494E+01 \\
 esta     127 &  1.106E-01 &   7 &   32 &  4.909E-02 &  7.013E-03 &  1.534E-03 &  2.548E+01 \\
 esta     128 &  1.135E-01 &   6 &   28 &  6.616E-02 &  1.103E-02 &  2.363E-03 &  2.586E+01 \\
 esta     129 &  1.130E-01 &   6 &   19 &  6.475E-03 &  1.079E-03 &  3.408E-04 &  2.583E+01 \\
 esta     130 &  1.107E-01 &   8 &   32 &  4.944E-02 &  6.181E-03 &  1.545E-03 &  2.548E+01 \\
 esta     131 &  1.114E-01 &   3 &   16 &  4.756E-03 &  1.585E-03 &  2.973E-04 &  2.509E+01 \\
 esta     132 &  1.117E-01 &   6 &   33 &  7.754E-02 &  1.292E-02 &  2.350E-03 &  2.628E+01 \\
 esta     133 &  1.110E-01 &   7 &   33 &  7.884E-02 &  1.126E-02 &  2.389E-03 &  2.769E+01 \\
 esta     134 &  1.121E-01 &   6 &   24 &  5.406E-02 &  9.010E-03 &  2.252E-03 &  2.768E+01 \\
 esta     135 &  1.112E-01 &   6 &   24 &  5.729E-02 &  9.548E-03 &  2.387E-03 &  2.698E+01 \\
 esta     136 &  1.146E-01 &   7 &   32 &  4.378E-02 &  6.255E-03 &  1.368E-03 &  2.687E+01 \\
 esta     137 &  1.113E-01 &  16 &   64 &  1.578E-02 &  9.864E-04 &  2.466E-04 &  2.634E+01 \\
 esta     138 &  1.086E-01 &   7 &   32 &  5.751E-02 &  8.215E-03 &  1.797E-03 &  2.672E+01 \\
 esta     139 &  1.074E-01 &  47 &   66 &  8.188E-02 &  1.742E-03 &  1.241E-03 &  2.863E+01 \\
 esta     140 &  1.094E-01 &   6 &   39 &  2.893E-02 &  4.821E-03 &  7.417E-04 &  2.779E+01 \\
 esta     141 &  1.115E-01 &   6 &   28 &  1.706E-02 &  2.843E-03 &  6.092E-04 &  2.788E+01 \\
 esta     142 &  1.089E-01 &   6 &   28 &  1.573E-02 &  2.622E-03 &  5.618E-04 &  2.871E+01 \\
 esta     143 &  1.083E-01 &   6 &   28 &  1.392E-02 &  2.320E-03 &  4.971E-04 &  2.871E+01 \\
 esta     144 &  1.080E-01 &   7 &   25 &  5.134E-02 &  7.334E-03 &  2.054E-03 &  2.956E+01 \\
 esta     145 &  1.066E-01 &   6 &   28 &  2.462E-02 &  4.103E-03 &  8.791E-04 &  3.042E+01 \\
 esta     146 &  1.080E-01 &   6 &   23 &  3.012E-02 &  5.020E-03 &  1.310E-03 &  3.009E+01 \\
 esta     147 &  1.089E-01 &   7 &   35 &  3.419E-02 &  4.884E-03 &  9.768E-04 &  3.087E+01 \\
 esta     148 &  1.068E-01 &   7 &   35 &  1.793E-02 &  2.562E-03 &  5.124E-04 &  3.251E+01 \\
 esta     149 &  1.057E-01 &   6 &   29 &  2.939E-02 &  4.898E-03 &  1.013E-03 &  3.138E+01 \\
 esta     150 &  1.049E-01 &   6 &   29 &  3.100E-02 &  5.167E-03 &  1.069E-03 &  3.006E+01 \\
