 -----------------------------------------------------------------------------
   Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta  Sum LM
      27             2        3.923850E-03      1.000103E-02       7     1.0
      28             1        3.797964E-03      6.628476E-03      10     1.0
      29             1        2.896418E-03      8.272544E-03      11     1.0
      30             1        2.878493E-03      1.043399E-03      14     1.0
      31             1        2.860446E-03      1.047450E-03      14     1.0
      32             1        2.842279E-03      1.051492E-03      14     1.0
      33             1        2.823992E-03      1.055525E-03      14     1.0
      34             1        2.805580E-03      1.059546E-03      14     1.0
      35             1        2.804025E-03      3.953275E-04      15     1.0
 -----------------------------------------------------------------------------
table 15 &  2.804E-03 &  35 &  69 &  3.101E-02 \\
